,S537_AD1,S538_AD2,S539_AD3,S540_AD4,S541_AD5,S542_AD6,S958_AD1,S959_AD2,S960_AD3,S961_AD4,S962_AD5,S963_AD6,S1189_AD1,S1190_AD2,S1191_AD3,S1192_AD4,S1193_AD5,S1194_AD6,S1365_AD1,S1366_AD2,S1367_AD3,S1368_AD4,S1369_AD5,S1370_AD6
,#048,#049,#050,#051,#052,#053,#086,#087,#088,#089,#090,#091,#095,#096,#097,#098,#099,#100,#103,#104,#105,#106,#107,#108
2384.588,0.02746108,0.03327259,0.0268724,0.03391751,0.02160374,0.02547995,0.03070017,0.02586676,0.02785189,0.03611296,0.03626916,0.03353647,0.02232188,0.03042267,0.02890954,0.02968017,0.03272393,0.02972986,0.02974325,0.03114109,0.03305384,0.0324731,0.02883618,0.03246004
2385.07,0.02747587,0.03331187,0.02689824,0.03396056,0.02161212,0.0254793,0.03071267,0.02588432,0.02786335,0.03615497,0.03631261,0.03355118,0.02235688,0.0304494,0.0289438,0.02967998,0.03272275,0.02973481,0.02979124,0.03118224,0.03309327,0.03249378,0.02885523,0.03248782
2385.552,0.02749093,0.0333428,0.02692079,0.0339976,0.02161683,0.02547969,0.03072168,0.02589634,0.02787214,0.03618588,0.03634625,0.0335657,0.02238894,0.03047719,0.02897459,0.02967933,0.03272043,0.02973484,0.02983663,0.03121465,0.03312737,0.0325193,0.02888073,0.03252117
2386.034,0.0275067,0.03337037,0.02694146,0.03403156,0.02162022,0.0254868,0.03073129,0.02590466,0.02787881,0.03620925,0.03637204,0.03358169,0.0224171,0.03050528,0.02900034,0.02968443,0.03272292,0.0297353,0.0298795,0.03124097,0.03315708,0.03255047,0.02891446,0.03256191
2386.517,0.02752179,0.03339408,0.02696047,0.03406074,0.02162546,0.02550371,0.03074354,0.02591025,0.02788234,0.03622628,0.03638989,0.03359951,0.02244002,0.03052764,0.02901835,0.02969668,0.03273334,0.02973807,0.02991631,0.03125921,0.03317901,0.0325859,0.0289546,0.03260542
2386.999,0.02754019,0.03342185,0.02698028,0.03409138,0.02163762,0.02553505,0.03076433,0.02591789,0.02788702,0.03624748,0.03640855,0.03362501,0.02245942,0.0305462,0.02903118,0.02972077,0.03275794,0.02975079,0.02994798,0.0312734,0.0331961,0.0326268,0.0290025,0.03265421
2387.481,0.02756276,0.03345267,0.0270008,0.03412206,0.02165897,0.02557963,0.03079454,0.02592941,0.02789428,0.0362762,0.03643031,0.03365895,0.02247607,0.03055809,0.02903922,0.02975406,0.03279669,0.02977441,0.02997247,0.03128212,0.03320694,0.03267083,0.02905405,0.03270278
2387.963,0.02759244,0.03349092,0.02702321,0.0341568,0.02169035,0.02563502,0.03083581,0.0259477,0.02790831,0.03631869,0.03646139,0.03370334,0.02249305,0.03056748,0.02904645,0.02979524,0.03284889,0.0298111,0.02999145,0.0312885,0.03321556,0.0327175,0.02910706,0.03275144
2388.445,0.02762564,0.03352915,0.02704491,0.03418926,0.02172736,0.02569226,0.03088207,0.0259704,0.02792787,0.03636915,0.03649719,0.03375205,0.02251066,0.03057323,0.02905314,0.02983553,0.03290515,0.02985304,0.03000331,0.03128959,0.03322074,0.0327624,0.02915483,0.03279261
2388.927,0.02766056,0.0335662,0.02706545,0.03421912,0.02176456,0.02574332,0.03092862,0.02599608,0.02795265,0.03642417,0.03653578,0.03380037,0.02253041,0.03057952,0.02906175,0.0298694,0.03295797,0.02989423,0.0300104,0.03128773,0.0332262,0.03280395,0.02919433,0.03282593
2389.409,0.02768987,0.03359276,0.0270826,0.03423924,0.02179457,0.02577909,0.03096647,0.02602045,0.02797752,0.0364723,0.03656762,0.03383911,0.02255127,0.03058541,0.02907128,0.02988831,0.03299659,0.02992347,0.03001277,0.03128131,0.03323133,0.03283847,0.02922056,0.03284546
2389.891,0.02771163,0.03361025,0.02709767,0.03425181,0.0218132,0.02579652,0.03099183,0.02604317,0.02800112,0.03651191,0.0365917,0.03386601,0.02257354,0.03059544,0.02908414,0.02989192,0.03301866,0.02993739,0.03001529,0.03127532,0.03324114,0.03286702,0.02923526,0.03285523
2390.374,0.02772276,0.03361498,0.02711082,0.03425481,0.02181884,0.02579569,0.03100133,0.02606347,0.02802001,0.03653909,0.03660431,0.03387922,0.02259624,0.03060924,0.02910021,0.02987935,0.03302242,0.02993247,0.03001984,0.0312711,0.03325593,0.03288982,0.02923982,0.03285569
