"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"43c330eb29396a63f7ffe99300728ea6","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_13499","midas_s_13499"
"6ff05782bc03c22e7c5d29f387ffa1a9","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14","midas_s_27515"
"83a478c6badc0417d0df8c65bf313aa0","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14",NA
"ada332446f8a8169becf200fcb2afed7","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14",NA
"0d90b64065a105b345248b49f190cf57","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221",NA
"113d51a2c7f2bf9a3c38a7d9269b42bc","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221","midas_s_1417"
"c814b8c74b19f2154a0d3f6a0e1e4e11","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221","midas_s_1417"
"31e9b714a88a07ca7c438e367fddba31","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221","midas_s_1417"
"a2d9483d9c904adb4b92dee0bd3ae805","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221","midas_s_1417"
"73aaca2b22dc578f760ac9eac287dcd2","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221",NA
"49a08aba6290297203db4c3f0f33a3cc","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221",NA
"4c9994f4be5dfa01f0daeb9f58a0ed4c","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221",NA
"9dfd37a1d5b9aa4ac18c1c528f679906","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_2477","midas_s_2477"
"025bdb2c8aa02cc58ebd61e9e9deae9a","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_6709"
"80f86eafacb72690ef1a02496ab1822b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_40284","midas_s_71490"
"bc9ffb0317e3e22b4a21bb83ce3099e5","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_20575"
"ab61b0f9dea1656efac0ed790983ed08","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_20575"
